티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
010145,삼성중공우,6695921,6698478,2557,3153529795150,3153963205200,433410050,,,
010400,우진아이엔에스,384441,426773,42332,1563549808,1724307022,160757214,,,
010420,한솔PNS,56338108,56896540,558432,90268000708,91013125364,745124656,,,
010580,에스엠벡셀,5059549,5037693,-21856,11618739819,11576280845,-42458974,,,
010600,웰바이오텍,172900995,175948096,3047101,437874176940,446384219430,8510042490,,,
010620,현대미포조선,48973280,52241913,3268633,1824803480100,1945245789100,120442309000,,,
010640,진양폴리,485358,462213,-23145,1393045690,1329007800,-64037890,,,
010660,화천기계,13566000,13779552,213552,79463621050,80584542670,1120921620,,,
010690,화신,12476964,11411724,-1065240,141915852745,130325731495,-11590121250,,,
010770,평화홀딩스,667712,592577,-75135,2603211883,2303342754,-299869129,,,
010780,아이에스동서,1680615,1211493,-469122,47254412600,33176043650,-14078368950,,,
010820,퍼스텍,58912772,59688416,775644,361788058229,368425000119,6636941890,,,
010950,S-Oil,1909145,1449286,-459859,202852048800,153939695150,-48912353650,,,
010955,S-Oil우,225619,218853,-6766,12921870650,12513372700,-408497950,,,
010960,삼호개발,936008,830168,-105840,3734806700,3309850892,-424955808,,,
011000,진원생명과학,28310485,33637379,5326894,49890598652,59099245610,9208646958,,,
011070,LG이노텍,1356048,1185899,-170149,344200359000,294124227750,-50076131250,,,
011090,에넥스,4084413,4005548,-78865,2076763872,2037123296,-39640576,,,
011150,CJ씨푸드,5663265,5131754,-531511,16461929631,14900149189,-1561780442,,,
011155,CJ씨푸드1우,11002,11069,67,168006860,169039000,1032140,,,
011160,두산건설,7598617,5379283,-2219334,10591150140,7417192690,-3173957450,,,
011170,롯데케미칼,1644520,1680316,35796,138966446400,139107162850,140716450,,,
011200,HMM,19709396,16407244,-3302152,421072573595,349820326110,-71252247485,,,
011210,현대위아,1306787,1008892,-297895,110493131400,84956844400,-25536287000,,,
011230,삼화전자,1394789,1358799,-35990,3908654725,3813147302,-95507423,,,
011280,태림포장,3076749,2705005,-371744,6650080854,5847412535,-802668319,,,
