date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2022-08-01,41300.0,193322.0,0.0,0.0,0.0,0.0,0.022807,0.0,ohlcv_proxy,,,,
2022-08-02,40850.0,193876.0,0.0,0.0,0.0,0.0,0.0254,0.0,ohlcv_proxy,,,,
2022-08-03,40950.0,180516.0,0.0,0.0,0.0,0.0,0.023965,0.0,ohlcv_proxy,,,,
2022-08-04,40950.0,186497.0,0.0,0.0,0.0,0.0,0.028868,0.0,ohlcv_proxy,,,,
2022-08-05,41900.0,333737.0,0.0,0.0,0.0,0.1,0.03431,0.0,ohlcv_proxy,,,,
2022-08-08,42400.0,180103.0,0.0,0.0,0.0,0.1,0.034851,0.0,ohlcv_proxy,,,,
2022-08-09,42650.0,191463.0,0.0,0.0,0.0,0.1,0.035919,0.0,ohlcv_proxy,,,,
2022-08-10,43450.0,395147.0,0.0,0.0,0.0,0.2,0.041551,0.0,ohlcv_proxy,,,,
2022-08-11,43400.0,375117.0,0.0,0.0,0.0,0.1,0.043006,0.0,ohlcv_proxy,,,,
2022-08-12,45500.0,473726.0,0.0,0.0,0.0,0.2,0.049208,0.0,ohlcv_proxy,,,,
2022-08-16,44300.0,418452.0,0.0,0.0,0.0,0.1,0.047481,0.0,ohlcv_proxy,,,,
2022-08-17,43400.0,239275.0,0.0,0.0,0.0,0.1,0.045637,0.0,ohlcv_proxy,,,,
2022-08-18,43050.0,183226.0,0.0,0.0,0.0,0.1,0.042437,0.0,ohlcv_proxy,,,,
2022-08-19,42450.0,151720.0,0.0,0.0,0.0,0.1,0.041212,0.0,ohlcv_proxy,,,,
2022-08-22,41300.0,237939.0,0.0,0.0,-0.0,0.0,0.016193,0.0,ohlcv_proxy,,,,
2022-08-23,40300.0,198175.0,0.0,0.0,-0.0,0.0,-0.00781,0.0,ohlcv_proxy,,,,
2022-08-24,41050.0,195613.0,0.0,0.0,-0.0,0.0,-0.020563,0.0,ohlcv_proxy,,,,
2022-08-25,41400.0,145643.0,0.0,0.0,-0.0,-0.1,-0.02859,0.0,ohlcv_proxy,,,,
2022-08-26,42050.0,217753.0,0.0,0.0,0.0,0.0,-0.030822,0.0,ohlcv_proxy,,,,
2022-08-29,40200.0,223770.0,0.0,0.0,-0.0,-0.1,-0.036296,0.0,ohlcv_proxy,,,,
2022-08-30,41100.0,200088.0,0.0,0.0,-0.0,0.0,-0.032274,0.0,ohlcv_proxy,,,,
2022-08-31,40950.0,266645.0,0.0,0.0,-0.0,0.0,-0.032582,0.0,ohlcv_proxy,,,,
2022-09-01,40900.0,399610.0,0.0,0.0,-0.0,-0.1,-0.033283,0.0,ohlcv_proxy,,,,
2022-09-02,42450.0,476593.0,0.0,0.0,0.0,0.0,-0.027571,0.0,ohlcv_proxy,,,,
2022-09-05,41900.0,214090.0,0.0,0.0,0.0,0.0,-0.022201,0.0,ohlcv_proxy,,,,
2022-09-06,42350.0,193556.0,0.0,0.0,0.0,0.0,-0.018438,0.0,ohlcv_proxy,,,,
2022-09-07,43150.0,457564.0,0.0,0.0,0.0,0.1,-0.0079,0.0,ohlcv_proxy,,,,
2022-09-08,42150.0,197787.0,0.0,0.0,0.0,0.1,0.001766,0.0,ohlcv_proxy,,,,
2022-09-13,42950.0,138768.0,0.0,0.0,0.0,0.1,0.004952,0.0,ohlcv_proxy,,,,
2022-09-14,41100.0,220141.0,0.0,0.0,-0.0,0.1,0.009825,0.0,ohlcv_proxy,,,,
2022-09-15,41500.0,142494.0,0.0,0.0,-0.0,0.1,0.01268,0.0,ohlcv_proxy,,,,
2022-09-16,41500.0,201988.0,0.0,0.0,-0.0,0.1,0.000764,0.0,ohlcv_proxy,,,,
2022-09-19,39850.0,262119.0,0.0,0.0,-0.0,0.2,-0.00991,0.0,ohlcv_proxy,,,,
2022-09-20,41100.0,183861.0,0.0,0.0,-0.0,0.1,-0.015001,0.0,ohlcv_proxy,,,,
2022-09-21,40450.0,175849.0,0.0,0.0,-0.0,0.1,-0.017379,0.0,ohlcv_proxy,,,,
2022-09-22,39450.0,243978.0,0.0,0.0,-0.0,0.1,-0.025731,0.0,ohlcv_proxy,,,,
2022-09-23,38250.0,181994.0,0.0,0.0,-0.0,0.0,-0.037395,0.0,ohlcv_proxy,,,,
2022-09-26,36450.0,298839.0,0.0,0.0,-0.0,0.0,-0.053135,0.0,ohlcv_proxy,,,,
2022-09-27,36950.0,256662.0,0.0,0.0,-0.0,0.0,-0.066279,0.0,ohlcv_proxy,,,,
2022-09-28,35100.0,320904.0,0.0,0.0,-0.0,0.0,-0.084587,0.0,ohlcv_proxy,,,,
2022-09-29,34800.0,294363.0,0.0,0.0,-0.0,0.0,-0.099588,0.0,ohlcv_proxy,,,,
2022-09-30,34300.0,234419.0,0.0,0.0,-0.0,0.0,-0.107095,0.0,ohlcv_proxy,,,,
2022-10-04,35800.0,175625.0,0.0,0.0,-0.0,0.0,-0.106283,0.0,ohlcv_proxy,,,,
