date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio
2019-11-21,59900.0,71955.0,0.0,0.0,-0.0,0.0,-0.030795,0.0,ohlcv_proxy,
2019-11-22,60500.0,46312.0,0.0,0.0,-0.0,0.0,-0.038273,0.0,ohlcv_proxy,
2019-11-25,63800.0,119771.0,0.0,0.0,0.0,0.1,-0.020267,0.0,ohlcv_proxy,
2019-11-26,63500.0,79745.0,0.0,0.0,0.0,0.1,-0.010523,0.0,ohlcv_proxy,
2019-11-27,62600.0,31654.0,0.0,0.0,0.0,0.1,-0.00704,0.0,ohlcv_proxy,
2019-11-28,62700.0,52167.0,0.0,0.0,0.0,0.1,0.003263,0.0,ohlcv_proxy,
2019-11-29,63700.0,107503.0,0.0,0.0,0.0,0.2,0.011065,0.0,ohlcv_proxy,
2019-12-02,63700.0,50056.0,0.0,0.0,0.0,0.2,0.010016,0.0,ohlcv_proxy,
2019-12-03,61700.0,86253.0,0.0,0.0,-0.0,0.2,0.004344,0.0,ohlcv_proxy,
2019-12-04,60500.0,55119.0,0.0,0.0,-0.0,0.2,0.004125,0.0,ohlcv_proxy,
2019-12-05,60000.0,49185.0,0.0,0.0,-0.0,0.2,0.000755,0.0,ohlcv_proxy,
2019-12-06,61900.0,56704.0,0.0,0.0,-0.0,0.2,-0.007821,0.0,ohlcv_proxy,
2019-12-09,61300.0,39860.0,0.0,0.0,-0.0,0.1,-0.013557,0.0,ohlcv_proxy,
2019-12-10,60000.0,50156.0,0.0,0.0,-0.0,0.1,-0.018699,0.0,ohlcv_proxy,
2019-12-11,59900.0,31769.0,0.0,0.0,-0.0,0.1,-0.019201,0.0,ohlcv_proxy,
2019-12-12,60700.0,94021.0,0.0,0.0,-0.0,0.1,-0.015451,0.0,ohlcv_proxy,
2019-12-13,62700.0,101267.0,0.0,0.0,0.0,0.1,-0.009307,0.0,ohlcv_proxy,
2019-12-16,64100.0,84608.0,0.0,0.0,0.0,0.1,-0.001365,0.0,ohlcv_proxy,
2019-12-17,63600.0,47075.0,0.0,0.0,0.0,0.1,0.004139,0.0,ohlcv_proxy,
2019-12-18,62200.0,47699.0,0.0,0.0,0.0,0.1,0.006082,0.0,ohlcv_proxy,
2019-12-19,62300.0,33292.0,0.0,0.0,0.0,0.1,0.012441,0.0,ohlcv_proxy,
2019-12-20,62700.0,47829.0,0.0,0.0,0.0,0.1,0.012422,0.0,ohlcv_proxy,
2019-12-23,62800.0,24241.0,0.0,0.0,0.0,0.1,0.007606,0.0,ohlcv_proxy,
2019-12-24,62500.0,37715.0,0.0,0.0,0.0,0.1,0.004717,0.0,ohlcv_proxy,
2019-12-26,62800.0,35763.0,0.0,0.0,0.0,0.1,0.006818,0.0,ohlcv_proxy,
2019-12-27,62500.0,56485.0,0.0,0.0,0.0,0.1,0.007262,0.0,ohlcv_proxy,
2019-12-30,62200.0,161180.0,0.0,0.0,-0.0,-0.1,0.0057,0.0,ohlcv_proxy,
2020-01-02,66700.0,258851.0,0.0,0.0,0.0,0.0,0.024772,0.0,ohlcv_proxy,
2020-01-03,69400.0,309676.0,0.0,0.0,0.0,0.1,0.034507,0.0,ohlcv_proxy,
2020-01-06,69100.0,105039.0,0.0,0.0,0.0,0.1,0.034798,0.0,ohlcv_proxy,
2020-01-07,73800.0,286832.0,0.0,0.0,0.0,0.2,0.041535,0.0,ohlcv_proxy,
2020-01-08,75100.0,182117.0,0.0,0.0,0.0,0.3,0.056064,0.0,ohlcv_proxy,
2020-01-09,75100.0,135871.0,0.0,0.0,0.0,0.3,0.070165,0.0,ohlcv_proxy,
2020-01-10,72700.0,144896.0,0.0,0.0,0.0,0.3,0.078943,0.0,ohlcv_proxy,
2020-01-13,75400.0,120360.0,0.0,0.0,0.0,0.3,0.082795,0.0,ohlcv_proxy,
2020-01-14,75300.0,75206.0,0.0,0.0,0.0,0.3,0.079153,0.0,ohlcv_proxy,
2020-01-15,78600.0,141071.0,0.0,0.0,0.0,0.4,0.077048,0.0,ohlcv_proxy,
2020-01-16,76900.0,77923.0,0.0,0.0,0.0,0.3,0.07427,0.0,ohlcv_proxy,
2020-01-17,75700.0,102851.0,0.0,0.0,0.0,0.2,0.080656,0.0,ohlcv_proxy,
2020-01-20,76200.0,71166.0,0.0,0.0,0.0,0.2,0.079048,0.0,ohlcv_proxy,
2020-01-21,74100.0,84969.0,0.0,0.0,0.0,0.1,0.072287,0.0,ohlcv_proxy,
2020-01-22,74800.0,36963.0,0.0,0.0,0.0,0.0,0.055724,0.0,ohlcv_proxy,
2020-01-23,74100.0,42798.0,0.0,0.0,0.0,0.0,0.046992,0.0,ohlcv_proxy,
2020-01-28,71200.0,78563.0,0.0,0.0,-0.0,0.0,0.028925,0.0,ohlcv_proxy,
2020-01-29,72700.0,65779.0,0.0,0.0,0.0,0.0,0.015895,0.0,ohlcv_proxy,
2020-01-30,71100.0,64726.0,0.0,0.0,-0.0,0.0,0.003016,0.0,ohlcv_proxy,
2020-01-31,71300.0,103758.0,0.0,0.0,-0.0,0.0,-0.013245,0.0,ohlcv_proxy,
2020-02-03,71000.0,93776.0,0.0,0.0,-0.0,0.0,-0.027277,0.0,ohlcv_proxy,
2020-02-04,74400.0,98491.0,0.0,0.0,0.0,0.0,-0.025752,0.0,ohlcv_proxy,
2020-02-05,75800.0,89121.0,0.0,0.0,0.0,0.0,-0.021321,0.0,ohlcv_proxy,
2020-02-06,77100.0,71792.0,0.0,0.0,0.0,0.0,-0.011523,0.0,ohlcv_proxy,
2020-02-07,77100.0,77127.0,0.0,0.0,0.0,0.0,0.003674,0.0,ohlcv_proxy,
2020-02-10,75300.0,140487.0,0.0,0.0,0.0,-0.1,0.015319,0.0,ohlcv_proxy,
2020-02-11,74200.0,114285.0,0.0,0.0,0.0,-0.1,0.012325,0.0,ohlcv_proxy,
2020-02-12,72200.0,148992.0,0.0,0.0,-0.0,-0.2,0.002973,0.0,ohlcv_proxy,
2020-02-13,71100.0,127973.0,0.0,0.0,-0.0,-0.2,-0.007408,0.0,ohlcv_proxy,
2020-02-14,69300.0,118067.0,0.0,0.0,-0.0,-0.2,-0.014807,0.0,ohlcv_proxy,
2020-02-17,72100.0,92487.0,0.0,0.0,-0.0,-0.2,-0.021669,0.0,ohlcv_proxy,
2020-02-18,71400.0,72876.0,0.0,0.0,-0.0,-0.2,-0.02625,0.0,ohlcv_proxy,
2020-02-19,69700.0,215517.0,0.0,0.0,-0.0,-0.3,-0.030016,0.1,ohlcv_proxy,
2020-02-20,68300.0,119160.0,0.0,0.0,-0.0,-0.3,-0.033245,0.1,ohlcv_proxy,
2020-02-21,66300.0,109580.0,0.0,0.0,-0.0,-0.3,-0.035687,0.1,ohlcv_proxy,
2020-02-24,63100.0,143887.0,0.0,0.0,-0.0,-0.2,-0.051593,0.1,ohlcv_proxy,
2020-02-25,64300.0,150488.0,0.0,0.0,-0.0,-0.2,-0.060111,0.1,ohlcv_proxy,
2020-02-26,63700.0,69082.0,0.0,0.0,-0.0,-0.1,-0.077259,0.1,ohlcv_proxy,
2020-02-27,65300.0,109333.0,0.0,0.0,-0.0,-0.1,-0.082501,0.1,ohlcv_proxy,
2020-02-28,64000.0,131417.0,0.0,0.0,-0.0,-0.1,-0.083395,0.1,ohlcv_proxy,
2020-03-02,63100.0,133473.0,0.0,0.0,-0.0,-0.1,-0.077439,0.1,ohlcv_proxy,
2020-03-03,62800.0,109496.0,0.0,0.0,-0.0,-0.1,-0.075048,0.1,ohlcv_proxy,
2020-03-04,65200.0,77011.0,0.0,0.0,-0.0,0.0,-0.066854,0.0,ohlcv_proxy,
2020-03-05,66700.0,65344.0,0.0,0.0,-0.0,0.0,-0.0616,0.0,ohlcv_proxy,
2020-03-06,65200.0,62868.0,0.0,0.0,-0.0,0.0,-0.053812,0.0,ohlcv_proxy,
2020-03-09,63300.0,81949.0,0.0,0.0,-0.0,0.0,-0.042196,0.0,ohlcv_proxy,
2020-03-10,64500.0,89544.0,0.0,0.0,-0.0,0.0,-0.028178,0.0,ohlcv_proxy,
2020-03-11,62500.0,83734.0,0.0,0.0,-0.0,0.0,-0.02908,0.0,ohlcv_proxy,
2020-03-12,58200.0,220416.0,0.0,0.0,-0.0,-0.1,-0.056047,0.0,ohlcv_proxy,
2020-03-13,56300.0,104269.0,0.0,0.0,-0.0,-0.1,-0.067545,0.0,ohlcv_proxy,
2020-03-16,58000.0,117174.0,0.0,0.0,-0.0,-0.1,-0.071109,0.0,ohlcv_proxy,
2020-03-17,64400.0,135398.0,0.0,0.0,0.0,-0.1,-0.062819,0.0,ohlcv_proxy,
2020-03-18,61700.0,111179.0,0.0,0.0,-0.0,-0.1,-0.052937,0.0,ohlcv_proxy,
2020-03-19,51400.0,220303.0,0.0,0.0,-0.0,-0.2,-0.067193,0.0,ohlcv_proxy,
2020-03-20,53800.0,215454.0,0.0,0.0,-0.0,-0.1,-0.067118,0.0,ohlcv_proxy,
2020-03-23,46850.0,179247.0,0.0,0.0,-0.0,-0.1,-0.086466,0.0,ohlcv_proxy,
2020-03-24,49000.0,218630.0,0.0,0.0,-0.0,0.0,-0.113794,0.0,ohlcv_proxy,
2020-03-25,52200.0,149836.0,0.0,0.0,-0.0,0.0,-0.124463,0.0,ohlcv_proxy,
2020-03-26,51600.0,114411.0,0.0,0.0,-0.0,0.1,-0.116597,0.0,ohlcv_proxy,
2020-03-27,51400.0,97184.0,0.0,0.0,-0.0,0.1,-0.121978,0.0,ohlcv_proxy,
2020-03-30,51000.0,101875.0,0.0,0.0,-0.0,0.1,-0.096173,0.0,ohlcv_proxy,
2020-03-31,50300.0,148302.0,0.0,0.0,-0.0,0.1,-0.076803,0.0,ohlcv_proxy,
2020-04-01,51000.0,141680.0,0.0,0.0,-0.0,0.1,-0.073381,0.0,ohlcv_proxy,
2020-04-02,52700.0,104113.0,0.0,0.0,-0.0,0.2,-0.063719,0.0,ohlcv_proxy,
2020-04-03,52200.0,70802.0,0.0,0.0,-0.0,0.1,-0.056734,0.0,ohlcv_proxy,
2020-04-06,54400.0,81984.0,0.0,0.0,0.0,0.1,-0.042423,0.0,ohlcv_proxy,
2020-04-07,59800.0,192569.0,0.0,0.0,0.0,0.0,0.0116,0.0,ohlcv_proxy,
2020-04-08,61500.0,210094.0,0.0,0.0,0.0,0.0,0.060483,0.0,ohlcv_proxy,
2020-04-09,62500.0,125905.0,0.0,0.0,0.0,0.0,0.089479,0.0,ohlcv_proxy,
2020-04-10,60800.0,87812.0,0.0,0.0,0.0,0.0,0.103486,0.0,ohlcv_proxy,
2020-04-13,59900.0,72461.0,0.0,0.0,0.0,0.0,0.11566,0.0,ohlcv_proxy,
2020-04-14,61200.0,74113.0,0.0,0.0,0.0,0.0,0.12972,0.0,ohlcv_proxy,
2020-04-16,62100.0,60484.0,0.0,0.0,0.0,0.0,0.133197,0.0,ohlcv_proxy,
