date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source
2025-02-19,14120.0,382,0,0,0.0,0.4,0.027779,0.0,ohlcv_proxy
2025-02-20,13987.0,2728,0,0,0.0,0.3,0.030199,0.0,ohlcv_proxy
2025-02-21,14027.0,1446,0,0,0.0,0.3,0.030436,0.0,ohlcv_proxy
2025-02-24,13968.0,1368,0,0,0.0,0.3,0.031922,0.0,ohlcv_proxy
2025-02-25,13924.0,6403,0,0,0.0,0.1,0.02421,0.0,ohlcv_proxy
2025-02-26,14017.0,123,0,0,0.0,0.1,0.02188,0.0,ohlcv_proxy
2025-02-27,13825.0,5277,0,0,0.0,-0.1,0.0153,0.0,ohlcv_proxy
2025-02-28,13305.0,322,0,0,-0.0,-0.1,0.012953,0.0,ohlcv_proxy
2025-03-04,13457.0,72,0,0,-0.0,-0.2,0.010781,0.0,ohlcv_proxy
2025-03-05,13585.0,996,0,0,0.0,-0.3,0.003741,0.0,ohlcv_proxy
2025-03-06,13698.0,289,0,0,0.0,-0.3,0.003202,0.0,ohlcv_proxy
2025-03-07,13658.0,1038,0,0,0.0,-0.2,-0.009608,0.0,ohlcv_proxy
2025-03-10,13673.0,77,0,0,0.0,-0.2,-0.006862,0.0,ohlcv_proxy
2025-03-11,13472.0,200,0,0,-0.0,-0.2,-0.007525,0.0,ohlcv_proxy
2025-03-12,13649.0,259,0,0,0.0,-0.1,-0.014813,0.0,ohlcv_proxy
2025-03-13,13654.0,276,0,0,0.0,-0.1,-0.015188,0.0,ohlcv_proxy
2025-03-14,13580.0,171,0,0,-0.0,0.0,-0.018393,0.0,ohlcv_proxy
2025-03-17,13850.0,425,0,0,0.0,0.0,-0.013298,0.0,ohlcv_proxy
2025-03-18,13874.0,26,0,0,0.0,0.0,-0.010852,0.0,ohlcv_proxy
2025-03-19,13978.0,878,0,0,0.0,0.0,-0.000805,0.0,ohlcv_proxy
2025-03-20,13982.0,343,0,0,0.0,0.0,0.003246,0.0,ohlcv_proxy
2025-03-21,13919.0,313,0,0,0.0,0.0,0.006517,0.0,ohlcv_proxy
2025-03-24,13924.0,10152,0,0,0.0,0.1,0.004484,0.0,ohlcv_proxy
2025-03-25,13909.0,133,0,0,0.0,0.1,0.004821,0.0,ohlcv_proxy
2025-03-26,14046.0,278,0,0,0.0,0.1,0.005903,0.0,ohlcv_proxy
2025-03-27,13791.0,375,0,0,0.0,0.1,0.005593,0.0,ohlcv_proxy
2025-03-28,13551.0,102,0,0,-0.0,0.1,0.005027,0.0,ohlcv_proxy
2025-03-31,13168.0,311,0,0,-0.0,0.1,-0.011982,0.0,ohlcv_proxy
2025-04-01,13452.0,29,0,0,-0.0,0.1,-0.014489,0.0,ohlcv_proxy
2025-04-02,13389.0,3,0,0,-0.0,0.1,-0.025484,0.0,ohlcv_proxy
2025-04-03,13251.0,51,0,0,-0.0,0.1,-0.042738,0.0,ohlcv_proxy
2025-04-04,13182.0,970,0,0,-0.0,0.1,-0.046914,0.0,ohlcv_proxy
2025-04-07,12392.0,422,0,0,-1e-06,0.0,-0.060486,0.0,ohlcv_proxy
2025-04-08,12392.0,15,0,0,-1e-06,0.0,-0.061807,0.0,ohlcv_proxy
2025-04-09,12171.0,66,0,0,-1e-06,0.0,-0.064009,0.0,ohlcv_proxy
2025-04-10,12966.0,8465,0,0,-0.0,0.1,-0.040239,0.0,ohlcv_proxy
2025-04-11,12942.0,240,0,0,-0.0,0.1,-0.041582,0.0,ohlcv_proxy
2025-04-14,13089.0,475,0,0,-0.0,0.1,-0.038126,0.0,ohlcv_proxy
2025-04-15,13158.0,0,0,0,-0.0,0.1,-0.038026,0.0,ohlcv_proxy
2025-04-16,13148.0,134,0,0,-0.0,0.1,-0.035905,0.0,ohlcv_proxy
2025-04-17,13192.0,0,0,0,-0.0,0.1,-0.029199,0.0,ohlcv_proxy
2025-04-18,13354.0,22,0,0,0.0,0.1,-0.024698,0.0,ohlcv_proxy
2025-04-21,13354.0,35,0,0,0.0,0.1,0.013026,0.0,ohlcv_proxy
2025-04-22,13305.0,202,0,0,0.0,0.1,0.017188,0.0,ohlcv_proxy
2025-04-23,13477.0,21,0,0,0.0,0.1,0.024294,0.0,ohlcv_proxy
2025-04-24,13408.0,44,0,0,0.0,0.0,0.026999,0.0,ohlcv_proxy
2025-04-25,13506.0,48,0,0,0.0,0.0,0.028914,0.0,ohlcv_proxy
2025-04-28,13605.0,65,0,0,0.0,0.0,0.032296,0.0,ohlcv_proxy
2025-04-29,13635.0,120,0,0,0.0,0.0,0.044155,0.0,ohlcv_proxy
2025-04-30,13570.0,1479,0,0,0.0,-0.1,0.039357,0.0,ohlcv_proxy
2025-05-02,13650.0,523,0,0,0.0,-0.1,0.039243,0.0,ohlcv_proxy
