날짜,Open,High,Low,Close,Volume
2021-03-16,9957,9972,9918,9918,54628
2021-03-17,9928,9952,9923,9928,62245
2021-03-18,9848,9888,9848,9863,124399
2021-03-19,9918,9957,9903,9928,94038
2021-03-22,9933,9957,9918,9918,79959
2021-03-23,9893,9918,9883,9918,53574
2021-03-24,9943,9967,9938,9962,45376
2021-03-25,9977,9977,9943,9957,41349
2021-03-26,9957,9962,9913,9923,70387
2021-03-29,9928,9952,9923,9947,58948
2021-03-30,9947,9962,9943,9962,133993
2021-03-31,9962,9962,9933,9943,104437
2021-04-01,9913,9952,9893,9947,96691
2021-04-02,9918,9923,9893,9908,177161
2021-04-05,9898,9918,9898,9908,45437
2021-04-06,9883,9883,9838,9838,111139
2021-04-07,9814,9834,9794,9804,155233
2021-04-08,9829,9848,9809,9819,57754
2021-04-09,9804,9853,9784,9853,84836
2021-04-12,9843,9903,9843,9883,126229
2021-04-13,9893,9908,9878,9893,96970
2021-04-14,9858,9868,9809,9814,124870
2021-04-15,9814,9834,9799,9819,70710
2021-04-16,9829,9848,9779,9799,87260
2021-04-19,9809,9834,9789,9809,87326
2021-04-20,9799,9804,9754,9769,172728
2021-04-21,9799,9824,9794,9824,173275
2021-04-22,9799,9814,9784,9809,89079
2021-04-23,9834,9843,9814,9819,146162
2021-04-26,9799,9809,9754,9774,191984
2021-04-27,9754,9774,9734,9749,146066
2021-04-28,9769,9784,9759,9774,140575
2021-04-29,9744,9744,9710,9739,179725
2021-04-30,9734,9769,9720,9764,66966
2021-05-03,9804,9868,9794,9858,239053
2021-05-04,9848,9858,9829,9848,95002
2021-05-06,9868,9893,9868,9888,142553
2021-05-07,9848,9863,9834,9848,103516
2021-05-10,9784,9809,9774,9784,179236
2021-05-11,9799,9843,9799,9834,108133
2021-05-12,9834,9883,9834,9878,130089
2021-05-13,9943,9943,9908,9923,221443
2021-05-14,9908,9928,9898,9913,142127
2021-05-17,9913,9967,9888,9957,153898
2021-05-18,9967,9992,9918,9918,134732
2021-05-20,9943,9952,9923,9947,74992
2021-05-21,9908,9913,9883,9898,189099
2021-05-24,9908,9913,9893,9898,127158
2021-05-25,9883,9888,9858,9863,117792
2021-05-26,9858,9863,9799,9814,235016
2021-05-27,9814,9834,9809,9809,109773
2021-05-28,9814,9824,9784,9799,149903
2021-05-31,9784,9809,9759,9764,214858
2021-06-01,9739,9754,9710,9720,327303
2021-06-02,9739,9779,9725,9779,182414
2021-06-03,9769,9789,9749,9789,117711
2021-06-04,9814,9829,9799,9804,132031
2021-06-07,9769,9774,9744,9774,127126
2021-06-08,9754,9804,9754,9779,115216
2021-06-09,9819,9819,9789,9799,80467
2021-06-10,9804,9804,9784,9799,138881
2021-06-11,9779,9779,9749,9754,239341
2021-06-14,9794,9814,9789,9809,129749
2021-06-15,9814,9824,9804,9814,78929
2021-06-16,9819,9824,9804,9809,50801
2021-06-17,9913,9933,9898,9933,355181
2021-06-18,9938,9952,9928,9938,175769
2021-06-21,9952,9992,9947,9962,193001
2021-06-22,9943,9947,9923,9938,102195
2021-06-23,9938,9987,9938,9982,176765
2021-06-24,9972,9992,9952,9957,67755
2021-06-25,9938,9947,9893,9908,208017
2021-06-28,9908,9938,9898,9923,96931
2021-06-29,9923,9933,9913,9913,110029
2021-06-30,9923,9938,9883,9893,352090
2021-07-01,9913,9947,9908,9947,90143
2021-07-02,9952,9967,9947,9967,124935
2021-07-05,9933,9943,9908,9938,134863
2021-07-06,9933,9947,9918,9923,77889
2021-07-07,9962,10007,9957,9997,193184
2021-07-08,10022,10056,10002,10042,239570
2021-07-09,10071,10091,10061,10076,242415
2021-07-12,10056,10076,10042,10076,148536
2021-07-13,10061,10071,10032,10056,91665
2021-07-14,10096,10111,10086,10086,285704
2021-07-15,10061,10081,10007,10022,208658
2021-07-16,10032,10042,9992,10007,215311
2021-07-19,10022,10081,10022,10081,175308
2021-07-20,10106,10116,10081,10101,214243
2021-07-21,10091,10131,10076,10121,154261
2021-07-22,10106,10121,10091,10101,112253
2021-07-23,10111,10111,10086,10096,111607
2021-07-26,10101,10141,10096,10136,101840
2021-07-27,10121,10121,10086,10101,166292
2021-07-28,10126,10165,10121,10141,136948
2021-07-29,10106,10111,10047,10066,199174
2021-07-30,10047,10101,10042,10101,136406
2021-08-02,10111,10131,10091,10101,102197
2021-08-03,10106,10121,10076,10086,162053
2021-08-04,10076,10086,10027,10042,197891
2021-08-05,10047,10061,10012,10042,213361
2021-08-06,10032,10047,10007,10032,123929
2021-08-09,10056,10071,10042,10052,126956
2021-08-10,10081,10096,10061,10096,115761
2021-08-11,10116,10151,10116,10151,163920
2021-08-12,10116,10195,10116,10185,179012
2021-08-13,10200,10260,10200,10245,306048
2021-08-17,10235,10339,10230,10324,421192
2021-08-18,10329,10349,10240,10250,308705
2021-08-19,10279,10329,10274,10319,323730
2021-08-20,10319,10354,10270,10349,358360
2021-08-23,10314,10324,10270,10299,260370
2021-08-24,10260,10265,10220,10225,277600
2021-08-25,10215,10245,10195,10230,130557
2021-08-26,10215,10274,10200,10265,210589
2021-08-27,10265,10299,10240,10255,135183
2021-08-30,10190,10230,10185,10230,185793
2021-08-31,10230,10230,10156,10165,334618
2021-09-01,10165,10200,10136,10146,310142
2021-09-02,10131,10190,10126,10185,141077
2021-09-03,10165,10165,10126,10136,133308
2021-09-06,10136,10165,10136,10136,94392
2021-09-07,10141,10165,10136,10156,65676
2021-09-08,10190,10230,10190,10230,136363
2021-09-09,10245,10270,10240,10260,169067
